46  Parasect    6       11      -1      -1  6   9   8   6   8   3   0.5     75  142
47  Venonat     6       3       48      31  6   5   5   4   5   4   0.5     190 61
48  Venomoth    6       3       -1      -1  7   6   6   9   7   9   0.5     75  158
49  Diglett     4       -1      50      26  1   5   2   3   4   9   0.5     255 53
50  Dugtrio     4       -1      -1      -1  3   8   5   5   7   12  0.5     50  149
51  Meowth      0       -1      52      28  4   4   3   4   4   9   0.5     255 58
52  Persian     0       -1      -1      -1  6   7   6   6   6   11  0.5     90  154
53  Psyduck     10      -1      54      33  5   5   4   6   5   5   0.5     190 64
54  Golduck     10      -1      -1      -1  8   8   7   9   8   8   0.5     75  175
55  Mankey      1       -1      56      28  4   8   3   3   4   7   0.5     190 61
56  Primeape    1       -1      -1      -1  6   10  6   6   7   9   0.5     75  159
57  Growlithe   9       -1      58      -4  5   7   4   7   5   6   0.75    190 70
58  Arcanine    9       -1      -1      -1  9   11  8   10  8   9   0.75    75  194
59  Poliwag     10      -1      60      25  4   5   4   4   4   9   0.5     255 60
60  Poliwhirl   10      -1      61      -6  6   6   6   5   5   9   0.5     120 135
61  Poliwrath   10      1       -1      -1  9   9   9   7   9   7   0.5     45  225
62  Abra        13      -1      63      16  2   2   1   10  5   9   0.75    200 62
63  Kadabra     13      -1      64      -7  4   3   3   12  7   10  0.75    100 140
64  Alakazam    13      -1      -1      -1  5   5   4   13  9   12  0.75    50  221
65  Machop      1       -1      66      28  7   8   5   3   3   3   0.75    180 61
66  Machoke     1       -1      67      -7  8   10  7   5   6   4   0.75    90  142
67  Machamp     1       -1      -1      -1  9   12  8   6   8   5   0.75    45  227
68  Bellsprout  11      3       69      21  5   7   3   7   3   4   0.5     255 60
69  Weepinbell  11      3       70      -5  6   9   5   8   4   5   0.5     120 137
70  Victreebel  11      3       -1      -1  8   10  6   10  7   7   0.5     45  216
71  Tentacool   10      3       72      30  4   4   3   5   10  7   0.5     190 67
72  Tentacruel  10      3       -1      -1  8   7   6   7   12  10  0.5     60  180
73  Geodude     5       4       74      25  4   8   10  3   3   2   0.5     255 60
74  Graveler    5       4       75      -7  5   9   11  4   4   3   0.5     120 137
75  Golem       5       4       -1      -1  8   12  13  5   6   4   0.5     45  223
76  Ponyta      9       -1      77      40  5   8   5   6   6   9   0.5     190 82
77  Rapidash    9       -1      -1      -1  6   10  7   8   8   10  0.5     60  175
78  Slowpoke    10      13      79      37  9   6   6   4   4   1   0.5     190 63
79  Slowbro     10      13      -1      -1  9   7   11  10  8   3   0.5     75  172
80  Magnemite   12      8       81      30  2   3   7   9   5   4   -1      190 65
81  Magneton    12      8       -1      -1  5   6   9   12  7   7   -1      60  163
82  Farfetch'd  0       2       -1      -1  5   6   5   5   6   6   0.5     45  123
83  Doduo       0       2       84      31  3   8   4   3   3   7   0.5     190 62
84  Dodrio      0       2       -1      -1  6   11  7   6   6   10  0.5     45  161
85  Seel        10      -1      86      34  6   4   5   4   7   4   0.5     190 65
86  Dewgong     10      14      -1      -1  9   7   8   7   9   7   0.5     75  166
87  Grimer      3       -1      88      38  8   8   5   4   5   2   0.5     190 65
88  Muk         3       -1      -1      -1  10  10  7   6   10  5   0.5     75  175
89  Shellder    10      -1      90      -6  3   6   10  4   2   4   0.5     190 61
90  Cloyster    10      14      -1      -1  5   9   18  8   4   7   0.5     60  184
91  Gastly      7       3       92      25  3   3   3   10  3   8   0.5     190 62
92  Haunter     7       3       93      -7  4   5   4   11  5   9   0.5     90  142
93  Gengar      7       3       -1      -1  6   6   6   13  7   11  0.5     45  225
94  Onix        5       4       -1      -1  3   4   16  3   4   7   0.5     45  77
95  Drowzee     13      -1      96      26  6   4   4   4   9   4   0.5     190 66
96  Hypno       13      -1      -1      -1  8   7   7   7   11  6   0.5     75  169
97  Krabby      10      -1      98      28  3   10  9   2   2   5   0.5     225 65
98  Kingler     10      -1      -1      -1  5   13  11  5   5   7   0.5     60  166
99  Voltorb     12      -1      100     30  4   3   5   5   5   10  -1      190 66
100 Electrode   12      -1      -1      -1  6   5   7   8   8   14  -1      60  168
101 Exeggcute   11      13      102     -5  6   4   8   6   4   4   0.5     90  65
102 Exeggutor   11      13      -1      -1  9   9   8   12  6   5   0.5     45  186
103 Cubone      4       -1      104     28  5   5   9   4   5   3   0.5     190 64
104 Marowak     4       -1      -1      -1  6   8   11  5   8   4   0.5     75  149
105 Hitmonlee   1       -1      -1      -1  5   12  5   3   11  8   1       45  159
106 Hitmonchan  1       -1      -1      -1  5   10  7   3   11  7   1       45  159
107 Lickitung   0       -1      -1      -1  9   5   7   6   7   3   0.5     45  77
108 Koffing     3       -1      109     35  4   6   9   6   4   3   0.5     190 68
109 Weezing     3       -1      -1      -1  6   9   12  8   7   6   0.5     60  172
110 Rhyhorn     4       5       111     42  8   8   9   3   3   2   0.5     120 69
111 Rhydon      4       5       -1      -1  10  13  12  4   4   4   0.5     60  170
112 Chansey     0       -1      -1      -1  25  0   0   3   10  5   0       30  395
113 Tangela     11      -1      -1      -1  6   5   11  10  4   6   0.5     45  87
114 Kangaskkhan 0       -1      -1      -1  10  9   8   4   8   9   0       45  172
115 Horsea      10      -1      116     32  3   4   7   7   2   6   0.5     225 59
116 Seadra      10      -1      -1      -1  5   6   9   9   4   8   0.5     75  154
117 Goldeen     10      -1      118     33  4   6   6   3   5   6   0.5     225 64
118 Seaking     10      -1      -1      -1  8   9   6   6   8   6   0.5     60  158
119 Staryu      10      -1      120     -6  3   4   5   7   5   8   -1      225 68
120 Starmie     10      13      -1      -1  6   7   8   10  8   11  -1      60  182
121 Mr._Mime    13      17      -1      -1  4   4   6   10  12  9   0.5     45  161
122 Scyther     6       2       -1      -1  7   11  8   5   8   10  0.5     45  100
123 Jynx        14      13      -1      -1  6   5   3   11  9   9   0       45  159
124 Electabuzz  12      -1      -1      -1  6   8   5   9   8   10  0.75    45  172
125 Magmar      9       -1      -1      -1  6   9   5   10  8   9   0.75    45  173
126 Pinsir      6       -1      -1      -1  6   12  10  5   7   8   0.5     45  175
127 Tauros      0       -1      -1      -1  7   10  9   4   7   11  1       45  172
128 Magikarp    10      -1      129     20  2   1   5   1   2   8   0.5     255 40
129 Gyarados    10      2       -1      -1  9   12  7   6   10  8   0.5     45  189
130 Lapras      10      14      -1      -1  13  8   8   8   9   6   0.5     45  187
131 Ditto       0       -1      -1      -1  4   4   4   4   4   4   -1      35  101
132 Eevee       0       -1      133     -6  5   5   5   4   6   5   0.875   45  65
133 Vaporeon    10      -1      -1      -1  13  6   6   11  9   6   0.875   45  184
134 Jolteon     12      -1      -1      -1  6   6   6   11  9   13  0.875   45  184
135 Flareon     9       -1      -1      -1  6   13  6   9   11  6   0.875   45  184
136 Porygon     0       -1      -1      -1  6   6   7   8   7   4   -1      45  79
137 Omanyte     5       10      138     40  3   4   10  9   5   3   0.875   45  71
138 Omastar     5       10      -1      -1  7   6   12  11  7   5   0.875   45  173
139 Kabuto      5       10      140     40  3   8   9   5   4   5   0.875   45  71
140 Kabutops    5       10      -1      -1  6   11  10  6   7   8   0.875   45  173
141 Aerodactyl  5       2       -1      -1  8   10  6   6   7   13  0.875   45  180
142 Snorlax     0       -1      -1      -1  16  11  6   6   11  3   0.875   25  189
143 Articuno    14      2       -1      -1  9   8   10  9   12  8   -1      3   261
144 Zapdos      12      2       -1      -1  9   9   8   12  9   10  -1      3   261
145 Moltres     9       2       -1      -1  9   10  9   12  8   9   -1      3   261
146 Dratini     15      -1      147     30  4   6   4   5   5   5   0.5     45  60
147 Dragonair   15      -1      148     55  6   8   6   7   7   7   0.5     45  147
148 Dragonite   15      2       -1      -1  9   13  9   10  10  8   0.5     45  270
149 Mewtwo      13      -1      -1      -1  10  11  9   15  9   13  -1      3   306
150 Mew         13      -1      -1      -1  10  10  10  10  10  10  -1      45  270
